size,repetition,is_cold,connection_time,start_timestamp,finish_timestamp,request_id
3948377,4,0,0.062958,1604975039.256799,1604975040.433652,ec6er151omf4
4277323,0,0,0.050818,1604975055.423492,1604975056.64655,ec6em4wfsedd
4277323,1,0,0.054218,1604975071.988777,1604975073.22492,ec6e1imwl59o
4277323,2,0,0.057561,1604975090.829833,1604975092.125182,ec6eqlkgpunk
4277323,3,0,0.053072,1604975106.806422,1604975108.045521,ec6eurh412l7
4277323,4,0,0.053727,1604975116.233835,1604975117.341499,ec6erum4jcrk
4606269,0,0,0.060816,1604975126.076022,1604975127.427697,ec6er89q84fa
4606269,1,0,0.053738,1604975141.21692,1604975142.632759,ec6eedm10kmo
4606269,2,0,0.054563,1604975157.427692,1604975158.825047,ec6eqe5jly72
4606269,3,0,0.106296,1604975169.061017,1604975170.431238,ec6e8ab57et8
4606269,4,0,0.051111,1604975183.737322,1604975185.127775,ec6eef7vwbze
4935215,0,0,0.054439,1604975192.43837,1604975193.925226,ec6el7oe7wye
4935215,1,0,0.057062,1604975205.32185,1604975206.63829,ec6ebzju00yl
4935215,2,0,0.06304,1604975216.79481,1604975218.232252,ec6e4qw6zmns
4935215,3,0,0.050604,1604975226.412943,1604975227.728344,ec6esoaayijg
4935215,4,0,0.065311,1604975243.207301,1604975244.724145,ec6eijb79snj
5264161,0,0,0.053399,1604975255.520167,1604975257.025862,ec6esb7xzimf
5264161,1,0,0.049822,1604975264.721386,1604975266.224092,ec6eii259px7
5264161,2,0,0.049744,1604975277.622656,1604975279.124877,ec6esurzl5od
5264161,3,0,0.055422,1604975297.07366,1604975298.637605,ec6ehbzuouzl
5264161,4,0,0.058736,1604975312.034474,1604975313.531032,ec6e3kqrjdp9
5593107,0,0,0.068944,1604975323.515377,1604975325.239724,ec6ebpb0rhmx
5593107,1,0,0.053458,1604975335.784789,1604975337.230851,ec6e7ohacxi9
5593107,2,0,0.067103,1604975357.6953,1604975359.234011,ec6e786zlasn
5593107,3,0,0.049594,1604975367.116024,1604975368.629449,ec6exzbjsdko
5593107,4,0,0.053175,1604975382.908398,1604975384.43541,ec6ecz8yhdw8
5922053,0,0,0.049832,1604975392.122649,1604975393.841197,ec6eqbxlimxa
5922053,1,0,0.047118,1604975410.125551,1604975411.72996,ec6e5h81shyi
5922053,2,0,0.061261,1604975430.811118,1604975432.540057,ec6esm7d85xi
5922053,3,0,0.056107,1604975451.700697,1604975453.537601,ec6e9kz5h1xi
5922053,4,0,0.055402,1604975464.817095,1604975466.423889,ec6eer79aa70
6251000,0,0,0.106893,1604975475.897175,1604975477.636037,ec6eo15bwaku
6251000,1,0,0.049067,1604975486.107931,1604975487.830418,ec6ecd111fas
6251000,2,0,0.0522,1604975495.122045,1604975496.931152,ec6ewxberogt
6251000,3,0,0.071571,1604975508.438042,1604975510.224887,ec6e3h2zlpwm
6251000,4,0,0.053409,1604975522.150431,1604975523.824783,ec6e9j7e5t47
