#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605059971.218255,1605059974.637817,3.381,3.061,0.247
1605059974.683327,1605059978.103285,3.381,3.120,0.215
1605059978.144910,1605059981.574014,3.427,3.146,0.268
1605059981.652224,1605059985.071611,3.380,2.977,0.296
1605059985.113620,1605059988.537222,3.385,3.077,0.156
1605059988.579071,1605059991.994419,3.376,3.106,0.112
1605059992.036603,1605059995.451722,3.376,3.118,0.171
1605059995.493983,1605059998.917666,3.385,3.073,0.237
1605059998.960192,1605060002.644635,3.645,3.254,0.096
1605060002.725107,1605060006.489621,3.726,3.568,0.143
1605060006.560052,1605060010.092533,3.469,3.175,0.183
1605060010.135342,1605060013.687048,3.472,3.077,0.312
1605060013.730161,1605060017.439942,3.630,3.170,0.244
1605060017.483254,1605060021.185238,3.622,3.414,0.116
1605060021.228641,1605060024.763847,3.459,3.189,0.146
1605060024.807244,1605060028.350253,3.467,3.180,0.200
1605060028.393850,1605060031.932922,3.468,3.237,0.152
1605060031.980858,1605060035.393962,3.374,2.985,0.277
1605060035.478674,1605060038.973655,3.419,3.091,0.258
1605060039.017683,1605060042.657773,3.561,3.141,0.214
1605060042.701953,1605060046.130656,3.390,3.059,0.288
1605060046.211499,1605060049.997653,3.710,2.988,0.309
1605060050.082186,1605060053.579974,3.422,2.989,0.253
1605060053.661619,1605060057.090778,3.386,3.080,0.197
1605060057.168227,1605060060.714055,3.507,3.249,0.133
1605060060.799981,1605060064.378653,3.540,3.248,0.151
1605060064.464891,1605060068.035073,3.531,3.064,0.371
1605060068.117226,1605060071.650187,3.494,3.241,0.186
1605060071.732494,1605060075.273082,3.502,3.213,0.127
1605060075.359945,1605060079.345622,3.910,3.237,0.133
1605060079.428328,1605060082.924605,3.453,3.199,0.126
1605060083.007555,1605060086.806985,3.760,3.141,0.250
1605060086.930867,1605060090.374093,3.364,3.009,0.201
1605060090.457164,1605060093.835043,3.339,2.999,0.193
1605060093.959044,1605060097.410283,3.412,3.038,0.177
1605060097.534526,1605060100.952407,3.379,2.974,0.302
1605060101.077055,1605060104.694112,3.541,3.306,0.138
1605060104.778504,1605060108.399825,3.546,3.209,0.175
1605060108.484082,1605060111.980936,3.417,2.961,0.279
1605060112.065441,1605060115.604220,3.459,3.095,0.236
1605060115.693161,1605060119.159286,3.386,3.094,0.214
1605060119.281086,1605060122.819979,3.500,3.258,0.153
1605060122.941825,1605060126.488518,3.508,3.206,0.218
1605060126.610580,1605060130.111541,3.462,3.204,0.172
1605060130.233965,1605060133.836613,3.563,3.008,0.344
1605060133.959237,1605060137.593652,3.595,3.227,0.318
1605060137.716655,1605060141.225370,3.470,3.219,0.160
1605060141.348359,1605060144.776303,3.426,3.206,0.134
1605060144.980857,1605060148.480992,3.384,3.048,0.213
1605060148.604224,1605060152.023104,3.416,3.048,0.278
1605060152.187216,1605060155.650669,3.420,3.238,0.133
1605060155.774538,1605060159.230297,3.417,3.025,0.245
1605060159.395307,1605060162.886810,3.416,3.071,0.184
1605060163.011273,1605060166.517937,3.431,3.067,0.207
1605060166.642817,1605060170.109528,3.391,3.125,0.218
1605060170.234574,1605060173.776907,3.503,3.128,0.252
1605060173.942626,1605060177.323931,3.342,3.035,0.233
1605060177.485727,1605060180.914939,3.390,3.097,0.208
1605060181.113860,1605060184.652187,3.495,3.109,0.334
1605060184.814663,1605060188.388897,3.535,3.022,0.388
