memory,type,is_cold,exec_time,connection_time,client_time,provider_time
2048,warm,False,1352770,0.071915,1478127,1360
2048,warm,False,1134254,0.083906,1310218,1175
2048,warm,False,1188453,0.077464,1310822,1195
2048,warm,False,1123297,0.098895,1278931,1132
2048,warm,False,1488250,0.118961,1675505,1494
2048,warm,False,1135630,0.089236,1275076,1143
2048,warm,False,1046620,0.070478,1255198,1052
2048,warm,False,1158702,0.054353,1260309,1166
2048,warm,False,1223571,0.088694,1366281,1230
2048,warm,False,1100737,0.106968,1336267,1182
2048,warm,False,1192007,0.093808,1340484,1199
2048,warm,False,1138061,0.093958,1276184,1144
2048,warm,False,1145583,0.090458,1372650,1211
2048,warm,False,1204339,0.100097,1357683,1209
2048,warm,False,1098482,0.1115,1261687,1105
2048,warm,False,1232685,0.092037,1400939,1247
2048,warm,False,1059730,0.073692,1185771,1067
2048,warm,False,1116595,0.096777,1283307,1127
2048,warm,False,1093057,0.082686,1228924,1101
2048,warm,False,1515813,0.090908,1664221,1524
2048,warm,False,1247566,0.074445,1380419,1254
2048,warm,False,1219378,0.093697,1363406,1226
2048,warm,False,1938154,0.089665,2198079,1970
2048,warm,False,1119423,0.107499,1292962,1127
2048,warm,False,1296216,0.085361,1438749,1306
2048,warm,False,1174487,0.100059,1329582,1183
2048,warm,False,3774590,0.091567,4083593,3781
2048,warm,False,1133819,0.09349,1293401,1140
2048,warm,False,1184400,0.071359,1316142,1190
2048,warm,False,1136502,0.097966,1293192,1144
2048,warm,False,1065839,0.066227,1190631,1073
2048,warm,False,1215260,0.057667,1378815,1283
2048,warm,False,1107240,0.094844,1260550,1118
2048,warm,False,1887382,0.096166,2049331,1895
2048,warm,False,1232273,0.0646,1391706,1279
2048,warm,False,1232819,0.071112,1434456,1316
2048,warm,False,1136733,0.117568,1354795,1184
2048,warm,False,1149283,0.061053,1273793,1165
2048,warm,False,1130271,0.092238,1297355,1135
2048,warm,False,1085919,0.091013,1250156,1092
2048,warm,False,1231106,0.09592,1392592,1241
2048,warm,False,1055914,0.10565,1236992,1089
2048,warm,False,1148665,0.081973,1276973,1155
2048,warm,False,1118512,0.101189,1292200,1125
2048,warm,False,1140906,0.087566,1336838,1199
2048,warm,False,1184476,0.095426,1339606,1191
2048,warm,False,1127649,0.079551,1257517,1135
2048,warm,False,1152251,0.069305,1270627,1157
2048,warm,False,1055117,0.096369,1210377,1062
2048,warm,False,1146736,0.096797,1296979,1153
2048,warm,False,1150408,0.062976,1334961,1230
2048,warm,False,1029662,0.069339,1204600,1034
2048,warm,False,1066756,0.089121,1211523,1072
2048,warm,False,1395450,0.077081,1519066,1400
2048,warm,False,1080972,0.070648,1219505,1089
2048,warm,False,1164641,0.063291,1278976,1172
2048,warm,False,1135599,0.084731,1270848,1143
2048,warm,False,1148503,0.094207,1303592,1158
2048,warm,False,1155245,0.069908,1308889,1195
2048,warm,False,1138214,0.08907,1289297,1152
2048,warm,False,1153122,0.064157,1275848,1163
